Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
1,1,17,3,14,33,33,3,2,3,3,1,3,2,1,1,3,1,2,3,2,2,3,3,3,2,3,3,2,3,4,3,0,1
1,2,13,3,14,24,17,2,3,4,4,1,4,4,4,1,3,2,2,3,2,2,3,3,3,4,2,3,3,3,3,3,1,0
0,2,6,3,12,18,18,3,1,3,2,1,2,3,2,1,4,3,3,2,3,2,4,4,2,2,1,2,1,1,3,2,1,0
0,2,3,3,27,34,9,3,4,4,4,1,3,2,2,1,3,1,3,1,1,2,2,3,3,2,2,3,2,2,3,3,0,1
0,1,17,0,32,23,6,3,3,3,4,1,3,3,3,1,3,2,3,3,3,3,3,3,2,3,2,3,1,3,4,1,1,1
0,0,9,1,23,33,30,3,3,3,3,2,2,3,2,1,2,2,3,2,2,3,3,2,2,3,3,3,2,1,4,3,0,1
0,0,10,3,13,16,33,4,2,4,4,1,3,2,1,1,2,1,3,4,3,2,3,2,1,4,3,2,1,2,4,3,1,1
1,1,13,4,23,14,17,4,3,3,4,1,2,3,2,1,3,2,2,1,1,2,2,3,2,2,3,3,3,3,3,3,1,1
0,1,10,3,24,18,13,4,3,3,3,1,3,3,2,1,2,2,2,4,2,3,3,3,2,2,2,2,2,2,4,2,0,0
0,2,13,3,23,30,20,3,2,3,3,1,3,3,3,1,3,2,2,2,3,2,2,3,3,2,2,2,2,1,4,2,1,1
1,1,8,3,14,16,18,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
0,2,2,0,7,8,10,4,3,3,3,1,3,3,2,1,3,3,3,3,1,3,2,3,2,2,3,2,2,3,3,3,0,1
0,1,17,0,32,23,2,4,4,3,3,1,4,4,4,1,4,3,3,2,2,3,3,4,3,2,3,3,2,3,3,3,1,0
0,0,6,0,12,34,10,4,4,4,4,1,4,4,4,1,4,4,4,2,3,3,4,4,3,2,2,3,3,3,3,2,1,0
0,0,6,3,12,30,37,4,3,4,4,1,3,4,3,1,3,2,3,3,2,3,3,3,2,2,1,3,2,3,4,4,1,0
1,0,13,4,23,16,8,4,4,4,4,1,3,3,3,1,3,3,3,2,1,3,3,3,3,2,1,2,1,3,3,3,1,1
1,0,9,3,23,14,17,4,4,4,4,1,4,4,4,1,4,1,3,3,1,3,4,4,3,3,3,3,3,2,4,4,1,0
1,2,6,3,12,13,19,2,3,3,3,1,2,3,2,1,3,2,3,3,3,3,2,3,2,2,2,2,2,3,3,3,0,1
1,1,11,4,27,24,19,3,2,3,3,1,2,2,2,1,2,3,3,2,2,3,2,2,2,2,3,3,3,3,3,2,0,1
1,1,1,0,7,8,38,3,2,4,4,1,3,3,1,1,3,2,3,3,3,3,3,3,3,2,4,3,2,3,4,3,1,1
1,2,12,3,33,12,25,4,4,4,4,1,4,4,4,1,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,2,1,0
1,2,8,3,14,24,8,4,4,4,4,1,3,3,3,1,3,4,2,3,3,3,3,3,3,4,1,3,2,2,2,3,1,0
